wav,observations,wsjt_decoded_total,owsfz_decoded_total,both_decoded,neither_decoded
260706_212315.wav,84,74,35,34,9
260706_214615.wav,105,85,51,49,18
260706_220100.wav,75,65,54,45,1
260706_220730.wav,81,68,46,39,6
260706_221415.wav,129,84,60,43,28
260706_221845.wav,138,96,69,57,30
260706_224000.wav,84,69,44,40,11
260706_224145.wav,87,79,46,44,6
260706_224630.wav,99,88,57,55,9
260706_230945.wav,78,72,48,45,3
260706_231930.wav,123,98,67,58,16
260706_233945.wav,93,83,52,48,6
260707_002700.wav,126,107,61,51,9
260707_012245.wav,132,117,56,53,12
260707_013500.wav,105,92,69,61,5
260707_014045.wav,126,121,78,75,2
260707_025130.wav,96,85,58,52,5
260707_030200.wav,84,76,43,39,4
260707_031115.wav,114,98,60,58,14
260707_032245.wav,78,68,48,43,5
260707_040115.wav,99,93,58,56,4
260707_043745.wav,96,93,64,62,1
260707_044145.wav,114,100,65,56,5
260707_044515.wav,120,93,56,47,18
260707_052815.wav,60,60,39,39,0
260707_053130.wav,75,67,40,37,5
260707_053530.wav,87,78,46,43,6
260707_054145.wav,117,99,53,39,4
260707_055715.wav,81,73,51,47,4
260707_060600.wav,66,59,34,31,4
260707_064115.wav,57,48,34,30,5
260707_065730.wav,39,32,28,24,3
260707_071000.wav,27,18,15,12,6
260707_073930.wav,45,39,28,24,2
260707_075115.wav,42,36,29,27,4
260707_075745.wav,24,24,18,18,0
260707_085130.wav,24,21,19,18,2
260707_094515.wav,21,15,14,12,4
260707_104800.wav,15,12,7,6,2
260707_110700.wav,6,6,6,6,0
260707_112215.wav,9,6,7,6,2
260707_130315.wav,9,9,6,6,0
