run_date,git_sha,pct_grr_snr,ndc_snr,bias_snr_owsfz,kappa_s4,fp_rate_s5
test-matcher,f0cc0f59ffcb1c5f129bf6c69937dba2ee182a2a,0.03959095405114534,70,0.05555555555555579,,
2026-06-06,46d7f6a3e2ed338cc3f4b76f07b17c66d218119b,44.79158344252264,1,-1.9583333333333333,,0.0
2026-06-06,5b868ce6e54ec4daf2b1e6b2cadf3dbc936280eb,45.84527743814074,1,1.0833333333333333,,0.0
2026-06-06,aa053a976a2b7ca5cd3ed31491129b66f0bec1bd,5.856107083100933,5,1.0,,0.0
2026-06-06,4c34ef625e35598a20b0f06c9f4f7cf4c7a39540,32.027835428123346,2,1.0952380952380953,1.0,0.0
2026-06-06,6bab388c8c14289e393bcb531cee1280beebe2b6,6.499607441099937,5,1.6666666666666667,1.0,0.0
2026-06-07,497996f333c6892d76d91e78a8b2fd48332aa561,6.57798058702967,5,1.6333333333333333,1.0,0.0
2026-06-07,15b220b03cb67cf60ad93b0542170599666e962d,6.492193424199408,5,1.7,1.0,0.0
2026-06-10,b4b61721ab34ab774917a3c22b7c09cf218f5bad,14.790536880481532,3,0.1,,
2026-06-10,b4b61721ab34ab774917a3c22b7c09cf218f5bad,24.266781792670933,2,-1.1666666666666667,,
2026-06-10,5592b774cf660a12c8fe509a8dc22d49d3e50992,23.713065495919405,2,-0.9666666666666667,,
2026-06-10,c61f29e11e7edd1913971ba0d6abf0378b186f3a,23.344012793886456,2,-0.9500000000000003,,
2026-06-10,91f68dd02b61315538dd892a8666b14a22577a0b,1.367971979704371,11,2.416666666666667,,
2026-06-11,6ce38a33f06fd56348540e71c25d27f3620ae39a,1.1749960833463893,12,2.283333333333334,,
2026-06-11,4ab061ada0dc4f679d6b7031e27cfd9eae1a6d98,1.156889697960391,13,2.283333333333334,,
2026-06-11,068210692666c3865a994c378f86718a9e1ca908,0.5456723304201537,19,1.783333333333333,,
2026-06-12,3ecf8ae7d789a2219fd63eb929de266e3705b441,,,,,
2026-06-12,da133f41450b013cb9791fa4aa6fef71ce30ca3c,,,,,
2026-06-12,30972bad59ac0f4684d8bd79b13b20b3bd63ebbe,,,,,
2026-06-13,dc9956736880c2d2611bfcebb404681512e4b769,,,,,
2026-06-13,cd9f06be222888a57cefed3ecdbdcd5a5fc4c138,,,,,
2026-06-13,b5477b37f156ef48a0a0aeaa1810f95e8d4fca5c,,,,,
2026-06-13,5f0422fa904b3adbc49151e7c0875933d3aa047a,,,,,
2026-06-13,595d6eacdafbca771f412cb41a00c2668ed4e0b4,0.3906425396255404,22,1.583333333333333,,
2026-06-14,815b65286c8b11a983ea1b799a9254d2e345b395,0.2638006839276991,27,1.4166666666666665,1.0,0.0
